# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.193979 0.00845391
0.0135649 0.187943 0.00762033
0.0147981 0.181877 0.00755636
0.0160312 0.175767 0.00569005
0.0172644 0.1696 0.00624744
0.0184976 0.16336 0.00503821
0.0197307 0.157037 0.00429589
0.0209639 0.150639 0.00407943
0.022197 0.144196 0.00356014
0.0234302 0.137755 0.0038106
0.0246633 0.131369 0.00446472
0.0258964 0.125091 0.00372445
0.0271296 0.118969 0.00375846
0.0283627 0.11304 0.00322035
0.0295958 0.107327 0.00356929
0.030829 0.101848 0.00290158
0.0320621 0.0966128 0.00308662
0.0332952 0.0916257 0.00277585
0.0345283 0.0868879 0.00269023
0.0357614 0.0823969 0.00301931
0.0369945 0.0781483 0.00261934
0.0382276 0.0741357 0.00272694
0.0394606 0.0703514 0.00232
0.0406937 0.0667868 0.00253125
0.0419268 0.0634325 0.00253563
0.0431599 0.060279 0.00222734
0.0443929 0.0573162 0.00238582
0.045626 0.0545337 0.00227346
0.046859 0.0519211 0.00226949
0.048092 0.049468 0.00209666
0.0493251 0.0471644 0.0020974
0.0505581 0.0450009 0.00204295
0.0517911 0.0429686 0.00198386
0.0530241 0.0410591 0.00211063
0.0542571 0.0392642 0.00195436
0.0554901 0.0375764 0.00189876
0.0567231 0.0359882 0.00170944
0.057956 0.034493 0.00169482
0.059189 0.0330847 0.00164583
0.060422 0.0317574 0.00167042
0.0616549 0.0305061 0.00170161
0.0628878 0.0293256 0.00164868
0.0641208 0.0282116 0.00150727
0.0653537 0.0271596 0.00138159
0.0665866 0.0261657 0.00153673
0.0678195 0.0252261 0.00151664
0.0690524 0.0243375 0.00141716
0.0702852 0.0234965 0.00136344
0.0715181 0.0227001 0.00147325
0.0727509 0.0219451 0.00129182
0.0739838 0.0212289 0.0012787
0.0752166 0.0205488 0.0012797
0.0764494 0.0199025 0.00129915
0.0776822 0.0192877 0.00126075
0.078915 0.0187024 0.00120997
0.0801478 0.0181447 0.00125857
0.0813806 0.0176127 0.00116216
0.0826133 0.0171047 0.001149
0.083846 0.0166192 0.00112407
0.0850788 0.0161547 0.00112432
0.0863115 0.0157099 0.00105859
0.0875442 0.0152834 0.00102809
0.0887769 0.0148742 0.0010348
0.0900096 0.0144813 0.00101165
0.0912422 0.0141037 0.00101465
0.0924749 0.0137405 0.00101357
0.0937075 0.0133908 0.000975439
0.0949401 0.0130539 0.000979551
0.0961727 0.0127292 0.000947632
0.0980216 0.0122634 0.000954785
0.100487 0.011679 0.000962851
0.102952 0.0111327 0.000941611
0.105417 0.0106209 0.000918299
0.107882 0.0101406 0.00089677
0.110347 0.00968944 0.000910366
0.112811 0.00926519 0.000938086
0.115276 0.00886605 0.000908607
0.117741 0.00849029 0.000881809
0.120205 0.00813628 0.000862065
0.12267 0.00780252 0.00087587
0.125134 0.00748757 0.000874632
0.127598 0.00718996 0.000895785
0.130063 0.00690816 0.000849582
0.133143 0.00657607 0.000849257
0.136839 0.00620389 0.000828093
0.140535 0.00585676 0.000817559
0.144231 0.00553124 0.000828696
0.147926 0.00522461 0.000798602
0.151621 0.00493482 0.000786754
0.155316 0.00466056 0.000788882
0.159011 0.00440108 0.000770855
0.162706 0.00415604 0.000768763
0.1664 0.00392521 0.000735055
0.17071 0.00367343 0.000717547
0.175635 0.00340757 0.000696993
0.18056 0.00316358 0.000677908
0.185484 0.00294 0.00065807
0.190408 0.0027356 0.000649897
0.195331 0.00254922 0.000638506
0.200254 0.00237941 0.000621128
0.205177 0.00222458 0.000614031
0.210714 0.00206628 0.000600238
0.216865 0.00190779 0.000586224
0.223016 0.00176518 0.000580222
0.229166 0.00163634 0.000560651
0.235314 0.00151963 0.0005526
0.241462 0.00141402 0.000536749
0.248224 0.00130993 0.000535125
0.255599 0.00120971 0.000524341
0.262973 0.00112152 0.00051919
0.270345 0.00104287 0.000512738
0.277716 0.000971658 0.000500541
0.285085 0.000906609 0.000495892
0.293066 0.000842078 0.000499674
0.301659 0.000778306 0.000503697
0.31025 0.000719622 0.000515514
0.318839 0.000665681 0.000528702
0.328038 0.000612866 0.000527597
0.337848 0.000561737 0.000524905
0.347654 0.000515273 0.000525668
0.357457 0.000472711 0.000524811
0.367256 0.000433671 0.000546746
0.377664 0.000396011 0.00057671
0.388679 0.000360236 0.000603385
0.39969 0.000328158 0.000685203
0.411307 0.00029768 0.000769501
0.423529 0.000268769 0.000857702
0.435744 0.000242471 0.000981836
0.447953 0.000218565 0.00117414
